                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8693,                0.50957,                0.92464,                0.93824,                0.94985,                0.97672,                0.75402,                0.89354,                0.49448,                0.96699,              0.0010894,              0.0010894,              0.0010894
                     37,                0.86736,                0.51512,                0.92882,                0.96191,                0.93984,                0.97697,                  0.748,                0.90682,                0.47655,                0.97027,              0.0010729,              0.0010729,              0.0010729
                     38,                0.86363,                0.51491,                0.92962,                0.90536,                0.94899,                0.96123,                0.73759,                0.88824,                0.49442,                0.96826,              0.0010564,              0.0010564,              0.0010564
                     39,                0.86074,                0.51362,                0.92196,                0.94566,                0.95003,                0.96983,                 0.7467,                0.89162,                0.47322,                0.96667,              0.0010399,              0.0010399,              0.0010399
                     40,                0.86098,                0.50761,                0.92628,                0.93086,                0.91382,                0.96151,                0.75281,                 0.8689,                0.52379,                0.95156,              0.0010234,              0.0010234,              0.0010234
                     41,                0.84861,                0.49704,                0.92155,                0.94949,                0.93536,                0.96971,                  0.758,                0.86338,                0.47978,                0.95177,              0.0010069,              0.0010069,              0.0010069
                     42,                0.84451,                0.49469,                0.91832,                0.93539,                0.93944,                0.96279,                0.75379,                0.86029,                0.48231,                0.95311,             0.00099036,             0.00099036,             0.00099036
                     43,                0.83793,                0.49162,                0.91871,                0.95157,                0.95256,                0.96643,                0.75325,                 0.8661,                0.46691,                 0.9486,             0.00097386,             0.00097386,             0.00097386
                     44,                 0.8271,                0.48134,                0.91514,                0.95244,                0.93122,                0.97142,                0.76254,                0.85853,                 0.4655,                0.94804,             0.00095736,             0.00095736,             0.00095736
                     45,                0.82913,                0.47993,                0.91208,                0.95907,                0.93822,                0.97301,                0.76648,                0.85958,                0.47034,                 0.9456,             0.00094085,             0.00094085,             0.00094085
                     46,                0.81932,                0.47883,                0.91284,                 0.9591,                0.92862,                0.97229,                  0.755,                 0.8629,                0.46633,                0.95014,             0.00092435,             0.00092435,             0.00092435
                     47,                0.81546,                 0.4813,                0.90817,                 0.9567,                0.92427,                0.96789,                0.76218,                0.85487,                0.46823,                 0.9478,             0.00090785,             0.00090785,             0.00090785
                     48,                 0.8173,                0.47013,                0.90762,                0.94069,                0.93507,                0.96864,                0.76426,                0.84832,                0.47007,                0.95357,             0.00089134,             0.00089134,             0.00089134
                     49,                0.80871,                0.47037,                0.90986,                0.96338,                0.94231,                 0.9777,                0.77189,                0.84009,                0.44287,                 0.9504,             0.00087484,             0.00087484,             0.00087484
                     50,                0.80151,                0.45989,                0.90942,                0.95301,                0.95202,                0.97476,                0.76601,                0.85521,                0.45802,                0.95431,             0.00085834,             0.00085834,             0.00085834
                     51,                0.79065,                0.45693,                0.90073,                 0.9486,                0.94888,                0.96853,                0.76118,                0.84788,                 0.4595,                0.95205,             0.00084184,             0.00084184,             0.00084184
                     52,                0.79386,                0.46493,                0.90431,                0.94363,                0.93383,                0.96378,                0.75544,                   0.84,                 0.4692,                0.94582,             0.00082533,             0.00082533,             0.00082533
                     53,                0.79027,                0.45857,                0.90133,                0.95155,                0.94541,                0.97762,                0.78208,                0.83592,                0.44523,                0.94371,             0.00080883,             0.00080883,             0.00080883
                     54,                0.79138,                0.45645,                0.89967,                  0.947,                0.95073,                0.97053,                0.76064,                0.85707,                0.45121,                0.95099,             0.00079233,             0.00079233,             0.00079233
                     55,                0.78601,                0.45327,                0.90291,                 0.9482,                0.94351,                0.96877,                0.76562,                0.85616,                 0.4497,                0.95835,             0.00077582,             0.00077582,             0.00077582
                     56,                0.77639,                0.45019,                0.90129,                0.94344,                0.93377,                0.96472,                 0.7621,                0.86932,                0.47552,                0.96289,             0.00075932,             0.00075932,             0.00075932
                     57,                 0.7758,                 0.4459,                0.89789,                0.96875,                0.92878,                0.97189,                0.76789,                0.86135,                0.45349,                0.95084,             0.00074282,             0.00074282,             0.00074282
                     58,                0.77134,                0.44275,                0.90042,                0.95985,                0.93714,                0.96907,                 0.7646,                0.85258,                0.45431,                0.95099,             0.00072631,             0.00072631,             0.00072631
                     59,                0.75663,                0.43892,                0.89363,                0.93833,                0.95644,                0.96852,                0.76424,                0.85776,                0.45095,                0.95873,             0.00070981,             0.00070981,             0.00070981
                     60,                0.75377,                0.43265,                0.89249,                0.93879,                0.94518,                0.96471,                  0.763,                0.85012,                0.43878,                0.95052,             0.00069331,             0.00069331,             0.00069331
                     61,                0.75389,                0.44064,                0.89614,                0.93195,                0.95801,                0.97177,                0.76846,                0.84844,                0.43672,                0.95268,              0.0006768,              0.0006768,              0.0006768
                     62,                0.74496,                0.43015,                0.89111,                0.94151,                0.94932,                0.96172,                0.76902,                0.83988,                 0.4475,                0.94748,              0.0006603,              0.0006603,              0.0006603
                     63,                0.74168,                0.42332,                0.88638,                0.94883,                0.95678,                0.96708,                0.76718,                 0.8516,                0.43261,                0.94971,              0.0006438,              0.0006438,              0.0006438
                     64,                0.74593,                0.42698,                0.89076,                0.94629,                0.96024,                0.97063,                0.77069,                0.84523,                0.43149,                0.95118,             0.00062729,             0.00062729,             0.00062729
                     65,                0.72659,                0.41661,                0.88269,                0.94229,                0.96178,                0.96742,                0.75793,                0.85511,                0.43774,                0.96084,             0.00061079,             0.00061079,             0.00061079
                     66,                0.73305,                0.41907,                0.88806,                0.94248,                0.95742,                0.96671,                0.76809,                0.85425,                0.44615,                 0.9451,             0.00059429,             0.00059429,             0.00059429
                     67,                0.71516,                 0.4103,                0.88084,                0.94649,                 0.9537,                0.96247,                0.76324,                 0.8514,                0.44133,                0.94993,             0.00057778,             0.00057778,             0.00057778
                     68,                0.71787,                0.41355,                0.87997,                0.94787,                0.95169,                0.96516,                0.75997,                0.84367,                0.44026,                0.95343,             0.00056128,             0.00056128,             0.00056128
                     69,                0.71135,                0.40592,                0.87651,                0.93093,                0.97095,                0.96697,                0.76524,                0.83356,                0.43409,                0.95005,             0.00054478,             0.00054478,             0.00054478
                     70,                0.71353,                0.40412,                0.87971,                0.94443,                0.96192,                0.96727,                0.77027,                0.84573,                0.43743,                 0.9494,             0.00052827,             0.00052827,             0.00052827
                     71,                0.70544,                0.40256,                0.87687,                0.95155,                0.96029,                0.96983,                0.77109,                0.83433,                0.42505,                0.94257,             0.00051177,             0.00051177,             0.00051177
                     72,                0.70958,                0.40363,                0.88026,                0.93971,                0.95009,                0.96231,                0.77027,                0.83687,                0.44153,                0.94845,             0.00049527,             0.00049527,             0.00049527
                     73,                0.69156,                 0.3968,                0.87342,                 0.9547,                0.93418,                0.96773,                0.77321,                0.83436,                0.43506,                0.94681,             0.00047876,             0.00047876,             0.00047876
                     74,                0.69097,                 0.3931,                0.87537,                  0.949,                 0.9472,                0.96923,                0.77115,                0.83765,                0.42517,                0.94276,             0.00046226,             0.00046226,             0.00046226
                     75,                0.69205,                0.39728,                0.87365,                0.93527,                0.95954,                0.96479,                0.76155,                0.84017,                0.42248,                0.94879,             0.00044576,             0.00044576,             0.00044576
