epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,24981.4,0.32441,0.17116,0.8032,0.99704,0.99674,0.99403,0.92219,0.41652,0.16202,0.88368,0.005842,0.005842,0.005842
44,25561.6,0.32206,0.17057,0.80277,0.997,0.99674,0.99413,0.92119,0.41775,0.1629,0.88403,0.005743,0.005743,0.005743
45,26141.8,0.31978,0.17077,0.80228,0.99697,0.99674,0.99382,0.92189,0.41767,0.16356,0.88407,0.005644,0.005644,0.005644
46,26722.3,0.313,0.16661,0.80103,0.9971,0.99674,0.99379,0.92151,0.41596,0.16137,0.88408,0.005545,0.005545,0.005545
47,27302.7,0.31067,0.16602,0.80019,0.99714,0.99674,0.99372,0.92074,0.4147,0.16065,0.88468,0.005446,0.005446,0.005446
48,27883.1,0.31239,0.16624,0.80064,0.99687,0.99646,0.99355,0.91976,0.41425,0.1607,0.885,0.005347,0.005347,0.005347
49,28463.5,0.30787,0.16437,0.80009,0.99688,0.99646,0.9935,0.91975,0.41431,0.16002,0.8854,0.005248,0.005248,0.005248
50,29043.8,0.30392,0.16411,0.79896,0.99685,0.99646,0.99345,0.91901,0.41392,0.16006,0.8859,0.005149,0.005149,0.005149
51,29624.4,0.30011,0.1607,0.79888,0.99689,0.99646,0.99351,0.9198,0.41463,0.15969,0.88645,0.00505,0.00505,0.00505
52,30205,0.29995,0.16167,0.79762,0.9965,0.99666,0.99364,0.91973,0.41497,0.16004,0.88693,0.004951,0.004951,0.004951
53,30785.6,0.29853,0.15934,0.79864,0.9965,0.99668,0.99358,0.9195,0.41488,0.16006,0.88728,0.004852,0.004852,0.004852
54,31367.8,0.29876,0.15952,0.79908,0.9965,0.99663,0.99367,0.91976,0.41499,0.16021,0.8876,0.004753,0.004753,0.004753
55,31948.3,0.29465,0.15806,0.79749,0.9965,0.99665,0.99376,0.91926,0.41521,0.1602,0.88791,0.004654,0.004654,0.004654
56,32528.7,0.29273,0.15633,0.79623,0.99784,0.99816,0.99433,0.9193,0.41523,0.15998,0.88802,0.004555,0.004555,0.004555
57,33109.2,0.28957,0.15678,0.7959,0.9965,0.99686,0.99365,0.91961,0.41555,0.16034,0.88824,0.004456,0.004456,0.004456
58,33689.6,0.28884,0.15497,0.79657,0.99654,0.99512,0.99354,0.91852,0.41572,0.16006,0.88853,0.004357,0.004357,0.004357
59,34270.1,0.28533,0.15489,0.79554,0.99653,0.99512,0.99346,0.91895,0.41571,0.15974,0.88877,0.004258,0.004258,0.004258
60,34850.4,0.28451,0.15362,0.79457,0.99653,0.99512,0.9934,0.91896,0.41602,0.15962,0.88904,0.004159,0.004159,0.004159
61,35431.3,0.28223,0.15163,0.7947,0.99652,0.99512,0.99337,0.91843,0.41597,0.1598,0.88916,0.00406,0.00406,0.00406
62,36012.1,0.28032,0.15044,0.79451,0.99649,0.99531,0.99354,0.91878,0.41597,0.15962,0.88944,0.003961,0.003961,0.003961
63,36593.3,0.27929,0.14992,0.79386,0.99647,0.99531,0.99361,0.91891,0.41584,0.15957,0.88961,0.003862,0.003862,0.003862
64,37174,0.27493,0.1479,0.79178,0.9965,0.99512,0.99346,0.9187,0.41585,0.16036,0.88989,0.003763,0.003763,0.003763
65,37755,0.27478,0.14828,0.79238,0.99649,0.99512,0.9934,0.91889,0.41572,0.15985,0.89001,0.003664,0.003664,0.003664
66,38335.8,0.27234,0.14762,0.79288,0.99651,0.99512,0.99334,0.91891,0.41587,0.16054,0.89026,0.003565,0.003565,0.003565
67,38916.7,0.26827,0.14527,0.79256,0.99649,0.99512,0.99336,0.91864,0.41611,0.16039,0.89047,0.003466,0.003466,0.003466
68,39498.5,0.26809,0.14463,0.79166,0.99649,0.99512,0.99329,0.9184,0.41557,0.16001,0.89039,0.003367,0.003367,0.003367
69,40078.5,0.26453,0.1434,0.79141,0.99648,0.99531,0.99329,0.91847,0.41604,0.16025,0.89062,0.003268,0.003268,0.003268
70,40658.2,0.26336,0.14161,0.79018,0.9965,0.9953,0.99312,0.91792,0.41607,0.16014,0.89077,0.003169,0.003169,0.003169
71,41238.4,0.25993,0.14019,0.78972,0.99651,0.9953,0.99331,0.91784,0.41588,0.15954,0.89097,0.00307,0.00307,0.00307
72,41818.1,0.25863,0.14132,0.78972,0.99647,0.99512,0.99333,0.91759,0.41607,0.15991,0.89124,0.002971,0.002971,0.002971
