epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11299.5,0.69537,0.38189,0.94213,0.94379,0.94415,0.96662,0.78199,0.8164,0.43455,1.09769,0.005842,0.005842,0.005842
44,11562.5,0.68497,0.37175,0.94257,0.95366,0.93863,0.96743,0.78448,0.82867,0.42164,1.11668,0.005743,0.005743,0.005743
45,11825.5,0.68237,0.37649,0.94262,0.95023,0.93839,0.96309,0.78014,0.82687,0.42764,1.11401,0.005644,0.005644,0.005644
46,12087.9,0.67873,0.37105,0.93969,0.94904,0.9365,0.96445,0.78141,0.82542,0.42494,1.12926,0.005545,0.005545,0.005545
47,12350.6,0.67656,0.37351,0.94262,0.94514,0.93634,0.96595,0.7838,0.83011,0.42492,1.12095,0.005446,0.005446,0.005446
48,12613.3,0.66609,0.36699,0.93393,0.94172,0.94021,0.96689,0.78551,0.82484,0.43471,1.11828,0.005347,0.005347,0.005347
49,12876.1,0.66073,0.35992,0.9322,0.95041,0.93649,0.96312,0.78299,0.81569,0.42889,1.12457,0.005248,0.005248,0.005248
50,13138.8,0.65724,0.35807,0.93266,0.94991,0.93722,0.96041,0.7817,0.82409,0.44117,1.11344,0.005149,0.005149,0.005149
51,13401.5,0.65455,0.35037,0.92834,0.94729,0.93909,0.96317,0.78287,0.8235,0.42709,1.12188,0.00505,0.00505,0.00505
52,13664.2,0.64614,0.35181,0.92708,0.95171,0.93747,0.96516,0.78578,0.81841,0.43652,1.12197,0.004951,0.004951,0.004951
53,13928.1,0.64188,0.3466,0.92565,0.94902,0.9335,0.96097,0.784,0.8237,0.43192,1.12664,0.004852,0.004852,0.004852
54,14190.9,0.63466,0.34194,0.91803,0.94819,0.94105,0.96241,0.78356,0.81821,0.42691,1.11136,0.004753,0.004753,0.004753
55,14453.6,0.64091,0.34749,0.92114,0.94502,0.9384,0.96168,0.78434,0.81113,0.43206,1.09842,0.004654,0.004654,0.004654
56,14716.2,0.62802,0.33899,0.92049,0.94823,0.94224,0.96351,0.7845,0.81613,0.42147,1.10485,0.004555,0.004555,0.004555
57,14979,0.61378,0.33672,0.91158,0.94798,0.94083,0.95863,0.77705,0.82412,0.42946,1.11143,0.004456,0.004456,0.004456
58,15241.7,0.61868,0.33617,0.91361,0.94772,0.93871,0.96233,0.782,0.81953,0.42634,1.10244,0.004357,0.004357,0.004357
